id;file;channel;mean;deviation;3rd;uniformity;entropy;4th
1;database/benigno/benigno (1).tif;red;179.332;33.422;-22018.002;0.011;6.926;5401568.549
2;database/benigno/benigno (2).tif;red;151.989;36.989;-5323.749;0.008;7.233;5255588.291
3;database/benigno/benigno (3).tif;red;166.606;36.137;-35402.313;0.009;7.118;6860927.495
4;database/benigno/benigno (4).tif;red;179.121;34.015;-6806.068;0.008;7.098;3658067.709
5;database/benigno/benigno (5).tif;red;147.284;31.814;-17938.036;0.010;6.925;3527766.630
6;database/benigno/benigno (6).tif;red;182.680;41.514;-6434.911;0.009;7.066;7514386.524
7;database/benigno/benigno (7).tif;red;150.456;23.081;-8496.167;0.014;6.442;846500.737
8;database/benigno/benigno (8).tif;red;175.505;47.969;-43139.266;0.006;7.468;14307914.674
9;database/benigno/benigno (9).tif;red;151.878;27.611;-15115.906;0.012;6.736;2017171.956
10;database/benigno/benigno (10).tif;red;189.885;25.923;-17410.992;0.014;6.572;3038008.436
11;database/benigno/benigno (11).tif;red;175.054;39.452;-28937.479;0.008;7.269;7431076.299
12;database/benigno/benigno (12).tif;red;181.800;43.572;-26493.966;0.008;7.206;9463689.354
13;database/benigno/benigno (13).tif;red;188.195;35.700;-33487.507;0.008;7.107;6291154.043
14;database/benigno/benigno (14).tif;red;162.212;43.200;-7789.215;0.007;7.412;9865250.998
15;database/benigno/benigno (15).tif;red;195.467;30.762;-12316.331;0.009;6.914;2825220.190
16;database/benigno/benigno (16).tif;red;179.364;42.547;-63260.022;0.007;7.310;12333051.946
17;database/benigno/benigno (17).tif;red;189.560;46.798;-40917.601;0.011;7.088;10979247.839
18;database/benigno/benigno (18).tif;red;189.306;33.348;-29957.507;0.010;6.990;5300003.409
19;database/benigno/benigno (19).tif;red;177.547;34.614;-18166.322;0.009;7.108;4684619.516
20;database/benigno/benigno (20).tif;red;168.247;30.505;-32525.118;0.014;6.694;4138136.112
21;database/maligno/maligno (1).tif;red;97.599;41.405;71702.368;0.008;7.210;10935156.992
22;database/maligno/maligno (2).tif;red;113.190;50.445;97871.903;0.006;7.486;18771310.513
23;database/maligno/maligno (3).tif;red;110.008;42.269;61684.498;0.007;7.285;12108592.322
24;database/maligno/maligno (4).tif;red;90.797;34.324;45517.393;0.010;6.948;6136492.785
25;database/maligno/maligno (5).tif;red;127.864;56.898;126311.107;0.007;7.438;25677690.057
26;database/maligno/maligno (6).tif;red;92.261;37.666;47544.468;0.008;7.148;8013137.780
27;database/maligno/maligno (7).tif;red;92.354;43.698;82889.563;0.008;7.295;13303028.817
28;database/maligno/maligno (8).tif;red;100.576;64.957;301475.767;0.009;7.192;50257188.695
29;database/maligno/maligno (9).tif;red;119.117;50.146;55589.796;0.006;7.556;16306718.084
30;database/maligno/maligno (10).tif;red;118.755;65.444;215552.604;0.007;7.434;41199852.113
31;database/maligno/maligno (11).tif;red;118.888;44.115;56918.104;0.007;7.407;11854735.444
32;database/maligno/maligno (12).tif;red;103.254;38.329;50331.737;0.008;7.185;8550231.871
33;database/maligno/maligno (13).tif;red;103.161;58.530;242058.537;0.009;7.157;36848100.110
34;database/maligno/maligno (14).tif;red;106.038;58.120;186239.444;0.007;7.431;32438316.400
35;database/maligno/maligno (15).tif;red;106.030;37.304;20318.557;0.008;7.212;6070159.152
36;database/maligno/maligno (16).tif;red;130.354;43.333;53571.448;0.007;7.349;10514427.061
37;database/maligno/maligno (17).tif;red;119.492;66.042;180851.459;0.006;7.505;38190378.896
38;database/maligno/maligno (18).tif;red;99.146;35.087;46627.420;0.009;7.030;7022010.123
39;database/maligno/maligno (19).tif;red;98.191;41.810;86455.154;0.008;7.176;12751993.599
40;database/maligno/maligno (20).tif;red;91.681;50.399;154428.163;0.008;7.317;23969077.109
41;database/benigno/benigno (1).tif;green;78.261;42.516;179696.399;0.015;6.627;27819183.455
42;database/benigno/benigno (2).tif;green;46.198;22.191;32891.298;0.018;6.132;4915513.835
43;database/benigno/benigno (3).tif;green;129.807;36.773;-3933.772;0.008;7.208;6164621.958
44;database/benigno/benigno (4).tif;green;64.625;34.013;87913.188;0.014;6.607;12386163.100
45;database/benigno/benigno (5).tif;green;73.772;25.653;13879.183;0.012;6.641;2153882.733
46;database/benigno/benigno (6).tif;green;93.674;73.286;409631.804;0.013;6.786;69129616.605
47;database/benigno/benigno (7).tif;green;61.342;13.004;-347.549;0.022;5.732;86787.428
48;database/benigno/benigno (8).tif;green;86.964;54.543;182816.451;0.008;7.351;28669558.802
49;database/benigno/benigno (9).tif;green;62.640;15.247;477.268;0.019;5.960;186470.168
50;database/benigno/benigno (10).tif;green;142.091;28.895;11867.237;0.012;6.758;3446565.893
51;database/benigno/benigno (11).tif;green;133.626;41.043;19815.600;0.007;7.347;7461381.106
