id;channel;test_size;svm;decision_tree;multilayer_perceptron
1;red;0.10;0.8;1.0;0.5
2;red;0.20;0.725;1.0;0.525
3;red;0.30;0.7846153846153847;1.0;0.43076923076923074
4;red;0.40;0.725;1.0;0.475
5;red;0.50;0.68;1.0;0.51
6;red;0.60;0.5583333333333333;0.9916666666666668;0.5166666666666667
7;red;0.70;0.6758620689655173;0.993103448275862;0.496551724137931
8;red;0.80;0.6;0.85625;0.5
9;red;0.90;0.5222222222222223;0.9333333333333333;0.4833333333333333
10;green;0.10;0.6;0.65;0.6
11;green;0.20;0.475;0.85;0.65
12;green;0.30;0.5692307692307693;0.8461538461538461;0.3846153846153847
13;green;0.40;0.575;0.7625;0.4625
14;green;0.50;0.5;0.7299999999999999;0.5
15;green;0.60;0.5166666666666666;0.7416666666666667;0.5083333333333333
16;green;0.70;0.5379310344827586;0.7448275862068965;0.4896551724137931
17;green;0.80;0.45;0.575;0.4875
18;green;0.90;0.49444444444444446;0.6444444444444445;0.47777777777777775
19;blue;0.10;0.4;0.65;0.7
20;blue;0.20;0.6;0.775;0.45
21;blue;0.30;0.5538461538461539;0.7538461538461538;0.4769230769230769
22;blue;0.40;0.55;0.7625;0.575
23;blue;0.50;0.44000000000000006;0.71;0.53
24;blue;0.60;0.5166666666666666;0.625;0.5
25;blue;0.70;0.46206896551724136;0.5862068965517241;0.47586206896551725
26;blue;0.80;0.5125;0.59375;0.475
27;blue;0.90;0.5;0.6277777777777778;0.4833333333333334
28;gray;0.10;0.55;0.95;0.35
29;gray;0.20;0.525;0.875;0.675
30;gray;0.30;0.6153846153846154;0.9076923076923078;0.5076923076923077
31;gray;0.40;0.625;0.9;0.5
32;gray;0.50;0.61;0.9000000000000001;0.47000000000000003
33;gray;0.60;0.4999999999999999;0.8916666666666666;0.4583333333333333
34;gray;0.70;0.46206896551724136;0.8551724137931034;0.5448275862068966
35;gray;0.80;0.5375;0.7875;0.50625
36;gray;0.90;0.5333333333333334;0.6055555555555555;0.4833333333333333
